"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:22:45,0 kb/s
2025-12-12 15:23:00,0 kb/s
2025-12-12 15:23:15,2.72 Mb/s
2025-12-12 15:23:30,3.07 Mb/s
2025-12-12 15:23:45,1.63 Mb/s
2025-12-12 15:24:00,1.49 Mb/s
2025-12-12 15:24:15,1.46 Mb/s
2025-12-12 15:24:30,2.02 Mb/s
2025-12-12 15:24:45,2.02 Mb/s
2025-12-12 15:25:00,1.79 Mb/s
2025-12-12 15:25:15,879 kb/s
2025-12-12 15:25:30,1.26 Mb/s
2025-12-12 15:25:45,1.27 Mb/s
2025-12-12 15:26:00,1.56 Mb/s
2025-12-12 15:26:15,2.21 Mb/s
2025-12-12 15:26:30,1.67 Mb/s
2025-12-12 15:26:45,2.59 Mb/s
2025-12-12 15:27:00,2.32 Mb/s
2025-12-12 15:27:15,2.19 Mb/s
2025-12-12 15:27:30,1.76 Mb/s
2025-12-12 15:27:45,2.35 Mb/s
2025-12-12 15:28:00,2.79 Mb/s
2025-12-12 15:28:15,2.25 Mb/s
2025-12-12 15:28:30,1.83 Mb/s
2025-12-12 15:28:45,2.27 Mb/s
2025-12-12 15:29:00,2.69 Mb/s
2025-12-12 15:29:15,2.26 Mb/s
2025-12-12 15:29:30,2.24 Mb/s
2025-12-12 15:29:45,2.10 Mb/s
2025-12-12 15:30:00,2.31 Mb/s
2025-12-12 15:30:15,1.13 Mb/s
2025-12-12 15:30:30,1.61 Mb/s
2025-12-12 15:30:45,4.07 Mb/s
2025-12-12 15:31:00,2.92 Mb/s
2025-12-12 15:31:15,2.64 Mb/s
2025-12-12 15:31:30,1.11 Mb/s
2025-12-12 15:31:45,0 kb/s
2025-12-12 15:32:00,0 kb/s
2025-12-12 15:32:15,0 kb/s
2025-12-12 15:32:30,0 kb/s
2025-12-12 15:32:45,0 kb/s
