"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 15:22:45,0.00259
2025-12-12 15:23:00,0.0376
2025-12-12 15:23:15,0.134
2025-12-12 15:23:30,0.130
2025-12-12 15:23:45,0.228
2025-12-12 15:24:00,0.185
2025-12-12 15:24:15,0.145
2025-12-12 15:24:30,0.160
2025-12-12 15:24:45,0.144
2025-12-12 15:25:00,0.130
2025-12-12 15:25:15,0.127
2025-12-12 15:25:30,0.125
2025-12-12 15:25:45,0.116
2025-12-12 15:26:00,0.131
2025-12-12 15:26:15,0.129
2025-12-12 15:26:30,0.132
2025-12-12 15:26:45,0.123
2025-12-12 15:27:00,0.121
2025-12-12 15:27:15,0.124
2025-12-12 15:27:30,0.118
2025-12-12 15:27:45,0.0989
2025-12-12 15:28:00,0.107
2025-12-12 15:28:15,0.126
2025-12-12 15:28:30,0.130
2025-12-12 15:28:45,0.124
2025-12-12 15:29:00,0.120
2025-12-12 15:29:15,0.122
2025-12-12 15:29:30,0.120
2025-12-12 15:29:45,0.122
2025-12-12 15:30:00,0.124
2025-12-12 15:30:15,0.126
2025-12-12 15:30:30,0.119
2025-12-12 15:30:45,0.122
2025-12-12 15:31:00,0.125
2025-12-12 15:31:15,0.137
2025-12-12 15:31:30,0.114
2025-12-12 15:31:45,0.0822
2025-12-12 15:32:00,0.0432
2025-12-12 15:32:15,0.0226
2025-12-12 15:32:30,0.0190
2025-12-12 15:32:45,0.0136
