"Time","myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"
2025-12-12 15:22:45,357 MiB
2025-12-12 15:23:00,363 MiB
2025-12-12 15:23:15,376 MiB
2025-12-12 15:23:30,376 MiB
2025-12-12 15:23:45,374 MiB
2025-12-12 15:24:00,384 MiB
2025-12-12 15:24:15,418 MiB
2025-12-12 15:24:30,424 MiB
2025-12-12 15:24:45,424 MiB
2025-12-12 15:25:00,425 MiB
2025-12-12 15:25:15,425 MiB
2025-12-12 15:25:30,480 MiB
2025-12-12 15:25:45,494 MiB
2025-12-12 15:26:00,492 MiB
2025-12-12 15:26:15,492 MiB
2025-12-12 15:26:30,492 MiB
2025-12-12 15:26:45,493 MiB
2025-12-12 15:27:00,493 MiB
2025-12-12 15:27:15,591 MiB
2025-12-12 15:27:30,591 MiB
2025-12-12 15:27:45,591 MiB
2025-12-12 15:28:00,593 MiB
2025-12-12 15:28:15,593 MiB
2025-12-12 15:28:30,593 MiB
2025-12-12 15:28:45,593 MiB
2025-12-12 15:29:00,593 MiB
2025-12-12 15:29:15,593 MiB
2025-12-12 15:29:30,593 MiB
2025-12-12 15:29:45,593 MiB
2025-12-12 15:30:00,667 MiB
2025-12-12 15:30:15,667 MiB
2025-12-12 15:30:30,667 MiB
2025-12-12 15:30:45,668 MiB
2025-12-12 15:31:00,668 MiB
2025-12-12 15:31:15,668 MiB
2025-12-12 15:31:30,668 MiB
2025-12-12 15:31:45,668 MiB
2025-12-12 15:32:00,668 MiB
2025-12-12 15:32:15,668 MiB
2025-12-12 15:32:30,667 MiB
2025-12-12 15:32:45,667 MiB
