"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 14:54:00,0 kb/s
2025-12-12 14:54:15,0 kb/s
2025-12-12 14:54:30,0 kb/s
2025-12-12 14:54:45,307 kb/s
2025-12-12 14:55:00,326 kb/s
2025-12-12 14:55:15,328 kb/s
2025-12-12 14:55:30,326 kb/s
2025-12-12 14:55:45,317 kb/s
2025-12-12 14:56:00,321 kb/s
2025-12-12 14:56:15,326 kb/s
2025-12-12 14:56:30,323 kb/s
2025-12-12 14:56:45,323 kb/s
2025-12-12 14:57:00,315 kb/s
2025-12-12 14:57:15,314 kb/s
2025-12-12 14:57:30,320 kb/s
2025-12-12 14:57:45,310 kb/s
2025-12-12 14:58:00,326 kb/s
2025-12-12 14:58:15,316 kb/s
2025-12-12 14:58:30,340 kb/s
2025-12-12 14:58:45,330 kb/s
2025-12-12 14:59:00,315 kb/s
2025-12-12 14:59:15,326 kb/s
2025-12-12 14:59:30,309 kb/s
2025-12-12 14:59:45,328 kb/s
2025-12-12 15:00:00,314 kb/s
2025-12-12 15:00:15,314 kb/s
2025-12-12 15:00:30,319 kb/s
2025-12-12 15:00:45,311 kb/s
2025-12-12 15:01:00,314 kb/s
2025-12-12 15:01:15,313 kb/s
2025-12-12 15:01:30,339 kb/s
2025-12-12 15:01:45,308 kb/s
2025-12-12 15:02:00,342 kb/s
2025-12-12 15:02:15,317 kb/s
2025-12-12 15:02:30,327 kb/s
2025-12-12 15:02:45,320 kb/s
2025-12-12 15:03:00,0 kb/s
2025-12-12 15:03:15,0 kb/s
2025-12-12 15:03:30,0 kb/s
2025-12-12 15:03:45,0 kb/s
