"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 14:54:00,0 kb/s
2025-12-12 14:54:15,0 kb/s
2025-12-12 14:54:30,0 kb/s
2025-12-12 14:54:45,662 kb/s
2025-12-12 14:55:00,625 kb/s
2025-12-12 14:55:15,626 kb/s
2025-12-12 14:55:30,638 kb/s
2025-12-12 14:55:45,662 kb/s
2025-12-12 14:56:00,658 kb/s
2025-12-12 14:56:15,669 kb/s
2025-12-12 14:56:30,642 kb/s
2025-12-12 14:56:45,649 kb/s
2025-12-12 14:57:00,682 kb/s
2025-12-12 14:57:15,699 kb/s
2025-12-12 14:57:30,668 kb/s
2025-12-12 14:57:45,679 kb/s
2025-12-12 14:58:00,670 kb/s
2025-12-12 14:58:15,662 kb/s
2025-12-12 14:58:30,667 kb/s
2025-12-12 14:58:45,679 kb/s
2025-12-12 14:59:00,657 kb/s
2025-12-12 14:59:15,655 kb/s
2025-12-12 14:59:30,648 kb/s
2025-12-12 14:59:45,621 kb/s
2025-12-12 15:00:00,663 kb/s
2025-12-12 15:00:15,659 kb/s
2025-12-12 15:00:30,671 kb/s
2025-12-12 15:00:45,665 kb/s
2025-12-12 15:01:00,647 kb/s
2025-12-12 15:01:15,653 kb/s
2025-12-12 15:01:30,657 kb/s
2025-12-12 15:01:45,692 kb/s
2025-12-12 15:02:00,645 kb/s
2025-12-12 15:02:15,670 kb/s
2025-12-12 15:02:30,652 kb/s
2025-12-12 15:02:45,655 kb/s
2025-12-12 15:03:00,0 kb/s
2025-12-12 15:03:15,0 kb/s
2025-12-12 15:03:30,0 kb/s
2025-12-12 15:03:45,0 kb/s
