"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 14:54:00,0 kb/s
2025-12-12 14:54:15,0 kb/s
2025-12-12 14:54:30,0 kb/s
2025-12-12 14:54:45,411 kb/s
2025-12-12 14:55:00,388 kb/s
2025-12-12 14:55:15,380 kb/s
2025-12-12 14:55:30,413 kb/s
2025-12-12 14:55:45,424 kb/s
2025-12-12 14:56:00,423 kb/s
2025-12-12 14:56:15,420 kb/s
2025-12-12 14:56:30,417 kb/s
2025-12-12 14:56:45,417 kb/s
2025-12-12 14:57:00,427 kb/s
2025-12-12 14:57:15,464 kb/s
2025-12-12 14:57:30,419 kb/s
2025-12-12 14:57:45,444 kb/s
2025-12-12 14:58:00,419 kb/s
2025-12-12 14:58:15,407 kb/s
2025-12-12 14:58:30,409 kb/s
2025-12-12 14:58:45,429 kb/s
2025-12-12 14:59:00,420 kb/s
2025-12-12 14:59:15,419 kb/s
2025-12-12 14:59:30,416 kb/s
2025-12-12 14:59:45,380 kb/s
2025-12-12 15:00:00,432 kb/s
2025-12-12 15:00:15,421 kb/s
2025-12-12 15:00:30,416 kb/s
2025-12-12 15:00:45,425 kb/s
2025-12-12 15:01:00,398 kb/s
2025-12-12 15:01:15,416 kb/s
2025-12-12 15:01:30,404 kb/s
2025-12-12 15:01:45,442 kb/s
2025-12-12 15:02:00,409 kb/s
2025-12-12 15:02:15,423 kb/s
2025-12-12 15:02:30,409 kb/s
2025-12-12 15:02:45,410 kb/s
2025-12-12 15:03:00,0 kb/s
2025-12-12 15:03:15,0 kb/s
2025-12-12 15:03:30,0 kb/s
2025-12-12 15:03:45,0 kb/s
