"Time","stress level"
2025-12-12 14:54:00,0.00556
2025-12-12 14:54:15,0.00642
2025-12-12 14:54:30,0.00515
2025-12-12 14:54:45,0.102
2025-12-12 14:55:00,0.0695
2025-12-12 14:55:15,0.0795
2025-12-12 14:55:30,0.0550
2025-12-12 14:55:45,0.0529
2025-12-12 14:56:00,0.0315
2025-12-12 14:56:15,0.0419
2025-12-12 14:56:30,0.0376
2025-12-12 14:56:45,0.0340
2025-12-12 14:57:00,0.0383
2025-12-12 14:57:15,0.0287
2025-12-12 14:57:30,0.0295
2025-12-12 14:57:45,0.0341
2025-12-12 14:58:00,0.0285
2025-12-12 14:58:15,0.0295
2025-12-12 14:58:30,0.0294
2025-12-12 14:58:45,0.0295
2025-12-12 14:59:00,0.0353
2025-12-12 14:59:15,0.0271
2025-12-12 14:59:30,0.0264
2025-12-12 14:59:45,0.0263
2025-12-12 15:00:00,0.0247
2025-12-12 15:00:15,0.0273
2025-12-12 15:00:30,0.0293
2025-12-12 15:00:45,0.0297
2025-12-12 15:01:00,0.0270
2025-12-12 15:01:15,0.0248
2025-12-12 15:01:30,0.0248
2025-12-12 15:01:45,0.0253
2025-12-12 15:02:00,0.0250
2025-12-12 15:02:15,0.0244
2025-12-12 15:02:30,0.0243
2025-12-12 15:02:45,0.0244
2025-12-12 15:03:00,0.00974
2025-12-12 15:03:15,0.00239
2025-12-12 15:03:30,0.00229
2025-12-12 15:03:45,0.00217
