"Time","myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"
2025-12-12 15:57:15,0.00496
2025-12-12 15:57:30,0.00766
2025-12-12 15:57:45,0.0116
2025-12-12 15:58:00,0.132
2025-12-12 15:58:15,0.242
2025-12-12 15:58:30,0.395
2025-12-12 15:58:45,0.484
2025-12-12 15:59:00,0.568
2025-12-12 15:59:15,0.512
2025-12-12 15:59:30,0.595
2025-12-12 15:59:45,0.513
2025-12-12 16:00:00,0.582
2025-12-12 16:00:15,0.580
2025-12-12 16:00:30,0.581
2025-12-12 16:00:45,0.575
2025-12-12 16:01:00,0.568
2025-12-12 16:01:15,0.564
2025-12-12 16:01:30,0.565
2025-12-12 16:01:45,0.567
2025-12-12 16:02:00,0.562
2025-12-12 16:02:15,0.580
2025-12-12 16:02:30,0.489
2025-12-12 16:02:45,0.646
2025-12-12 16:03:00,0.627
2025-12-12 16:03:15,0.590
2025-12-12 16:03:30,0.594
2025-12-12 16:03:45,0.602
2025-12-12 16:04:00,0.607
2025-12-12 16:04:15,0.606
2025-12-12 16:04:30,0.601
2025-12-12 16:04:45,0.587
2025-12-12 16:05:00,0.584
2025-12-12 16:05:15,0.579
2025-12-12 16:05:30,0.576
2025-12-12 16:05:45,0.570
2025-12-12 16:06:00,0.570
2025-12-12 16:06:15,0.539
2025-12-12 16:06:30,0.477
2025-12-12 16:06:45,0.300
2025-12-12 16:07:00,0.149
2025-12-12 16:07:15,0.0655
