"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.140:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-p56v9"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:57:15,0 ms
2025-12-12 15:57:30,0 ms
2025-12-12 15:57:45,0 ms
2025-12-12 15:58:00,69.8 ms
2025-12-12 15:58:15,77.5 ms
2025-12-12 15:58:30,68.7 ms
2025-12-12 15:58:45,67.0 ms
2025-12-12 15:59:00,69.0 ms
2025-12-12 15:59:15,106 ms
2025-12-12 15:59:30,69.8 ms
2025-12-12 15:59:45,67.5 ms
2025-12-12 16:00:00,68.3 ms
2025-12-12 16:00:15,71.6 ms
2025-12-12 16:00:30,72.5 ms
2025-12-12 16:00:45,69.5 ms
2025-12-12 16:01:00,68.4 ms
2025-12-12 16:01:15,73.2 ms
2025-12-12 16:01:30,69.7 ms
2025-12-12 16:01:45,111 ms
2025-12-12 16:02:00,71.1 ms
2025-12-12 16:02:15,72.6 ms
2025-12-12 16:02:30,85.2 ms
2025-12-12 16:02:45,70.5 ms
2025-12-12 16:03:00,67.6 ms
2025-12-12 16:03:15,69.6 ms
2025-12-12 16:03:30,68.7 ms
2025-12-12 16:03:45,85.4 ms
2025-12-12 16:04:00,68.7 ms
2025-12-12 16:04:15,105 ms
2025-12-12 16:04:30,67.9 ms
2025-12-12 16:04:45,113 ms
2025-12-12 16:05:00,67.2 ms
2025-12-12 16:05:15,100 ms
2025-12-12 16:05:30,71.3 ms
2025-12-12 16:05:45,70.8 ms
2025-12-12 16:06:00,72.3 ms
2025-12-12 16:06:15,69.0 ms
2025-12-12 16:06:30,66.4 ms
2025-12-12 16:06:45,67.4 ms
2025-12-12 16:07:00,67.6 ms
2025-12-12 16:07:15,67.6 ms
