"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.83:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-665c9b6656-sd8sp"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 15:37:45,0 ms
2025-12-12 15:38:00,0 ms
2025-12-12 15:38:15,70.4 ms
2025-12-12 15:38:30,68.0 ms
2025-12-12 15:38:45,339 ms
2025-12-12 15:39:00,69.4 ms
2025-12-12 15:39:15,68.0 ms
2025-12-12 15:39:30,76.6 ms
2025-12-12 15:39:45,66.1 ms
2025-12-12 15:40:00,69.4 ms
2025-12-12 15:40:15,68.4 ms
2025-12-12 15:40:30,71.7 ms
2025-12-12 15:40:45,69.0 ms
2025-12-12 15:41:00,67.2 ms
2025-12-12 15:41:15,66.1 ms
2025-12-12 15:41:30,69.2 ms
2025-12-12 15:41:45,67.9 ms
2025-12-12 15:42:00,66.9 ms
2025-12-12 15:42:15,95.6 ms
2025-12-12 15:42:30,67.9 ms
2025-12-12 15:42:45,68.1 ms
2025-12-12 15:43:00,71.5 ms
2025-12-12 15:43:15,66.8 ms
2025-12-12 15:43:30,68.0 ms
2025-12-12 15:43:45,73.9 ms
2025-12-12 15:44:00,76.3 ms
2025-12-12 15:44:15,66.6 ms
2025-12-12 15:44:30,68.3 ms
2025-12-12 15:44:45,66.1 ms
2025-12-12 15:45:00,65.8 ms
2025-12-12 15:45:15,66.8 ms
2025-12-12 15:45:30,65.4 ms
2025-12-12 15:45:45,74.9 ms
2025-12-12 15:46:00,66.4 ms
2025-12-12 15:46:15,67.9 ms
2025-12-12 15:46:30,70.0 ms
2025-12-12 15:46:45,67.5 ms
2025-12-12 15:47:00,65.3 ms
2025-12-12 15:47:15,65.3 ms
2025-12-12 15:47:30,65.3 ms
2025-12-12 15:47:45,65.3 ms
2025-12-12 15:48:00,64.3 ms
