"Time","jitsi_bit_rate_download{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:08:30,0 kb/s
2025-12-12 13:08:45,0 kb/s
2025-12-12 13:09:00,0 kb/s
2025-12-12 13:09:15,0 kb/s
2025-12-12 13:09:30,1.63 Mb/s
2025-12-12 13:09:45,1.04 Mb/s
2025-12-12 13:10:00,1.14 Mb/s
2025-12-12 13:10:15,1.17 Mb/s
2025-12-12 13:10:30,1.02 Mb/s
2025-12-12 13:10:45,1.09 Mb/s
2025-12-12 13:11:00,997 kb/s
2025-12-12 13:11:15,1.09 Mb/s
2025-12-12 13:11:30,1.07 Mb/s
2025-12-12 13:11:45,951 kb/s
2025-12-12 13:12:00,1.11 Mb/s
2025-12-12 13:12:15,1.12 Mb/s
2025-12-12 13:12:30,1.15 Mb/s
2025-12-12 13:12:45,1.11 Mb/s
2025-12-12 13:13:00,1.16 Mb/s
2025-12-12 13:13:15,1.25 Mb/s
2025-12-12 13:13:30,1.02 Mb/s
2025-12-12 13:13:45,1.13 Mb/s
2025-12-12 13:14:00,1.06 Mb/s
2025-12-12 13:14:15,1.04 Mb/s
2025-12-12 13:14:30,1.09 Mb/s
2025-12-12 13:14:45,1.04 Mb/s
2025-12-12 13:15:00,1.19 Mb/s
2025-12-12 13:15:15,0 kb/s
2025-12-12 13:15:30,0 kb/s
2025-12-12 13:15:45,0 kb/s
2025-12-12 13:16:00,1.09 Mb/s
2025-12-12 13:16:15,971 kb/s
2025-12-12 13:16:30,1.21 Mb/s
2025-12-12 13:16:45,988 kb/s
2025-12-12 13:17:00,1.13 Mb/s
2025-12-12 13:17:15,1.11 Mb/s
2025-12-12 13:17:30,987 kb/s
2025-12-12 13:17:45,574 kb/s
2025-12-12 13:18:00,0 kb/s
2025-12-12 13:18:15,0 kb/s
2025-12-12 13:18:30,0 kb/s
2025-12-12 13:18:45,0 kb/s
2025-12-12 13:19:00,0 kb/s
2025-12-12 13:19:15,0 kb/s
