"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:08:30,0 kb/s
2025-12-12 13:08:45,0 kb/s
2025-12-12 13:09:00,0 kb/s
2025-12-12 13:09:15,0 kb/s
2025-12-12 13:09:30,7.89 Mb/s
2025-12-12 13:09:45,8.27 Mb/s
2025-12-12 13:10:00,9.26 Mb/s
2025-12-12 13:10:15,8.88 Mb/s
2025-12-12 13:10:30,8.08 Mb/s
2025-12-12 13:10:45,8.78 Mb/s
2025-12-12 13:11:00,7.99 Mb/s
2025-12-12 13:11:15,8.23 Mb/s
2025-12-12 13:11:30,8.07 Mb/s
2025-12-12 13:11:45,7.57 Mb/s
2025-12-12 13:12:00,7.50 Mb/s
2025-12-12 13:12:15,7.35 Mb/s
2025-12-12 13:12:30,8.68 Mb/s
2025-12-12 13:12:45,8.24 Mb/s
2025-12-12 13:13:00,7.37 Mb/s
2025-12-12 13:13:15,8.35 Mb/s
2025-12-12 13:13:30,7.40 Mb/s
2025-12-12 13:13:45,7.66 Mb/s
2025-12-12 13:14:00,6.61 Mb/s
2025-12-12 13:14:15,8.27 Mb/s
2025-12-12 13:14:30,7.82 Mb/s
2025-12-12 13:14:45,7.44 Mb/s
2025-12-12 13:15:00,6.95 Mb/s
2025-12-12 13:15:15,0 kb/s
2025-12-12 13:15:30,0 kb/s
2025-12-12 13:15:45,0 kb/s
2025-12-12 13:16:00,7.30 Mb/s
2025-12-12 13:16:15,7.23 Mb/s
2025-12-12 13:16:30,9.59 Mb/s
2025-12-12 13:16:45,7.83 Mb/s
2025-12-12 13:17:00,9.10 Mb/s
2025-12-12 13:17:15,8.54 Mb/s
2025-12-12 13:17:30,6.14 Mb/s
2025-12-12 13:17:45,2.78 Mb/s
2025-12-12 13:18:00,0 kb/s
2025-12-12 13:18:15,0 kb/s
2025-12-12 13:18:30,0 kb/s
2025-12-12 13:18:45,0 kb/s
2025-12-12 13:19:00,0 kb/s
2025-12-12 13:19:15,0 kb/s
