"Time","sum(rate(container_cpu_usage_seconds_total{namespace=""default"", container=""jitsi-meet"", pod=~"".*-jvb-.*""}[1m0s]))"
2025-12-12 13:08:30,0.00173
2025-12-12 13:08:45,0.00174
2025-12-12 13:09:00,0.00171
2025-12-12 13:09:15,0.00160
2025-12-12 13:09:30,0.0477
2025-12-12 13:09:45,0.0990
2025-12-12 13:10:00,0.159
2025-12-12 13:10:15,0.184
2025-12-12 13:10:30,0.181
2025-12-12 13:10:45,0.181
2025-12-12 13:11:00,0.177
2025-12-12 13:11:15,0.172
2025-12-12 13:11:30,0.175
2025-12-12 13:11:45,0.176
2025-12-12 13:12:00,0.181
2025-12-12 13:12:15,0.177
2025-12-12 13:12:30,0.148
2025-12-12 13:12:45,0.177
2025-12-12 13:13:00,0.178
2025-12-12 13:13:15,0.148
2025-12-12 13:13:30,0.178
2025-12-12 13:13:45,0.182
2025-12-12 13:14:00,0.172
2025-12-12 13:14:15,0.172
2025-12-12 13:14:30,0.169
2025-12-12 13:14:45,0.177
2025-12-12 13:15:00,0.174
2025-12-12 13:15:15,0.168
2025-12-12 13:15:30,0.126
2025-12-12 13:15:45,0.0302
2025-12-12 13:16:00,0.0776
2025-12-12 13:16:15,0.102
2025-12-12 13:16:30,0.167
2025-12-12 13:16:45,0.179
2025-12-12 13:17:00,0.176
2025-12-12 13:17:15,0.170
2025-12-12 13:17:30,0.171
2025-12-12 13:17:45,0.152
2025-12-12 13:18:00,0.102
2025-12-12 13:18:15,0.0563
2025-12-12 13:18:30,0.0140
2025-12-12 13:18:45,0.0121
2025-12-12 13:19:00,0.00949
2025-12-12 13:19:15,0.00535
