"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.161.80:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:08:30,0 ms
2025-12-12 13:08:45,0 ms
2025-12-12 13:09:00,0 ms
2025-12-12 13:09:15,0 ms
2025-12-12 13:09:30,69.6 ms
2025-12-12 13:09:45,66.1 ms
2025-12-12 13:10:00,66.7 ms
2025-12-12 13:10:15,71.6 ms
2025-12-12 13:10:30,64.9 ms
2025-12-12 13:10:45,65.9 ms
2025-12-12 13:11:00,66.6 ms
2025-12-12 13:11:15,67.7 ms
2025-12-12 13:11:30,66.4 ms
2025-12-12 13:11:45,64.9 ms
2025-12-12 13:12:00,68.8 ms
2025-12-12 13:12:15,70.2 ms
2025-12-12 13:12:30,70.0 ms
2025-12-12 13:12:45,73.0 ms
2025-12-12 13:13:00,79.2 ms
2025-12-12 13:13:15,70.8 ms
2025-12-12 13:13:30,79.0 ms
2025-12-12 13:13:45,68.9 ms
2025-12-12 13:14:00,66.5 ms
2025-12-12 13:14:15,65.2 ms
2025-12-12 13:14:30,68.5 ms
2025-12-12 13:14:45,66.0 ms
2025-12-12 13:15:00,67.5 ms
2025-12-12 13:15:15,65.9 ms
2025-12-12 13:15:30,65.9 ms
2025-12-12 13:15:45,65.9 ms
2025-12-12 13:16:00,65.6 ms
2025-12-12 13:16:15,67.1 ms
2025-12-12 13:16:30,66.5 ms
2025-12-12 13:16:45,66.7 ms
2025-12-12 13:17:00,65.8 ms
2025-12-12 13:17:15,75.4 ms
2025-12-12 13:17:30,66.0 ms
2025-12-12 13:17:45,65.6 ms
2025-12-12 13:18:00,67.2 ms
2025-12-12 13:18:15,67.2 ms
2025-12-12 13:18:30,67.2 ms
2025-12-12 13:18:45,66.0 ms
2025-12-12 13:19:00,0 ms
2025-12-12 13:19:15,0 ms
