"Time","jitsi_bit_rate_upload{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.144:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-vp6w7"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:55:30,0 kb/s
2025-12-12 13:55:45,0 kb/s
2025-12-12 13:56:00,0 kb/s
2025-12-12 13:56:15,0 kb/s
2025-12-12 13:56:30,3.81 Mb/s
2025-12-12 13:56:45,6.11 Mb/s
2025-12-12 13:57:00,11.0 Mb/s
2025-12-12 13:57:15,11.6 Mb/s
2025-12-12 13:57:30,9.36 Mb/s
2025-12-12 13:57:45,10.7 Mb/s
2025-12-12 13:58:00,5.20 Mb/s
2025-12-12 13:58:15,6.94 Mb/s
2025-12-12 13:58:30,6.35 Mb/s
2025-12-12 13:58:45,7.91 Mb/s
2025-12-12 13:59:00,4.43 Mb/s
2025-12-12 13:59:15,7.33 Mb/s
2025-12-12 13:59:30,5.43 Mb/s
2025-12-12 13:59:45,2.83 Mb/s
2025-12-12 14:00:00,6.28 Mb/s
2025-12-12 14:00:15,4.24 Mb/s
2025-12-12 14:00:30,3.81 Mb/s
2025-12-12 14:00:45,7.86 Mb/s
2025-12-12 14:01:00,5.69 Mb/s
2025-12-12 14:01:15,4.91 Mb/s
2025-12-12 14:01:30,7.58 Mb/s
2025-12-12 14:01:45,7.25 Mb/s
2025-12-12 14:02:00,7.59 Mb/s
2025-12-12 14:02:15,7.71 Mb/s
2025-12-12 14:02:30,4.06 Mb/s
2025-12-12 14:02:45,6.41 Mb/s
2025-12-12 14:03:00,9.07 Mb/s
2025-12-12 14:03:15,5.52 Mb/s
2025-12-12 14:03:30,4.63 Mb/s
2025-12-12 14:03:45,8.77 Mb/s
2025-12-12 14:04:00,5.18 Mb/s
2025-12-12 14:04:15,8.47 Mb/s
2025-12-12 14:04:30,5.77 Mb/s
2025-12-12 14:04:45,4.34 Mb/s
2025-12-12 14:05:00,4.74 Mb/s
2025-12-12 14:05:15,3.15 Mb/s
2025-12-12 14:05:30,0 kb/s
2025-12-12 14:05:45,0 kb/s
2025-12-12 14:06:00,0 kb/s
2025-12-12 14:06:15,0 kb/s
2025-12-12 14:06:30,0 kb/s
2025-12-12 14:06:45,0 kb/s
2025-12-12 14:07:00,0 kb/s
