"Time","myjitsi-jitsi-meet-jvb-5d69f565cb-vp6w7"
2025-12-12 13:55:15,0 MiB
2025-12-12 13:55:30,190 MiB
2025-12-12 13:55:45,182 MiB
2025-12-12 13:56:00,182 MiB
2025-12-12 13:56:15,280 MiB
2025-12-12 13:56:30,309 MiB
2025-12-12 13:56:45,309 MiB
2025-12-12 13:57:00,344 MiB
2025-12-12 13:57:15,683 MiB
2025-12-12 13:57:30,690 MiB
2025-12-12 13:57:45,743 MiB
2025-12-12 13:58:00,743 MiB
2025-12-12 13:58:15,785 MiB
2025-12-12 13:58:30,805 MiB
2025-12-12 13:58:45,805 MiB
2025-12-12 13:59:00,867 MiB
2025-12-12 13:59:15,883 MiB
2025-12-12 13:59:30,883 MiB
2025-12-12 13:59:45,883 MiB
2025-12-12 14:00:00,883 MiB
2025-12-12 14:00:15,884 MiB
2025-12-12 14:00:30,885 MiB
2025-12-12 14:00:45,1.08 GiB
2025-12-12 14:01:00,1.12 GiB
2025-12-12 14:01:15,1.11 GiB
2025-12-12 14:01:30,1.12 GiB
2025-12-12 14:01:45,1.12 GiB
2025-12-12 14:02:00,1.12 GiB
2025-12-12 14:02:15,1.12 GiB
2025-12-12 14:02:30,1.12 GiB
2025-12-12 14:02:45,1.12 GiB
2025-12-12 14:03:00,1.12 GiB
2025-12-12 14:03:15,1.12 GiB
2025-12-12 14:03:30,1.12 GiB
2025-12-12 14:03:45,1.12 GiB
2025-12-12 14:04:00,1.12 GiB
2025-12-12 14:04:15,1.12 GiB
2025-12-12 14:04:30,1.12 GiB
2025-12-12 14:04:45,1.12 GiB
2025-12-12 14:05:00,1.12 GiB
2025-12-12 14:05:15,1.12 GiB
2025-12-12 14:05:30,1.11 GiB
2025-12-12 14:05:45,1.11 GiB
2025-12-12 14:06:00,1.11 GiB
2025-12-12 14:06:15,1.11 GiB
2025-12-12 14:06:30,1.11 GiB
2025-12-12 14:06:45,1.11 GiB
2025-12-12 14:07:00,1.11 GiB
