"Time","jitsi_rtt_aggregate{container=""metrics"", endpoint=""tcp-metrics"", instance=""10.2.63.144:9888"", job=""myjitsi-jitsi-meet-jvb-metrics"", namespace=""default"", pod=""myjitsi-jitsi-meet-jvb-5d69f565cb-vp6w7"", service=""myjitsi-jitsi-meet-jvb-metrics""}"
2025-12-12 13:55:30,0 ms
2025-12-12 13:55:45,0 ms
2025-12-12 13:56:00,0 ms
2025-12-12 13:56:15,0 ms
2025-12-12 13:56:30,69.3 ms
2025-12-12 13:56:45,70.1 ms
2025-12-12 13:57:00,68.6 ms
2025-12-12 13:57:15,69.6 ms
2025-12-12 13:57:30,83.1 ms
2025-12-12 13:57:45,68.8 ms
2025-12-12 13:58:00,185 ms
2025-12-12 13:58:15,68.1 ms
2025-12-12 13:58:30,68.8 ms
2025-12-12 13:58:45,69.3 ms
2025-12-12 13:59:00,72.9 ms
2025-12-12 13:59:15,69.3 ms
2025-12-12 13:59:30,72.4 ms
2025-12-12 13:59:45,68.1 ms
2025-12-12 14:00:00,76.6 ms
2025-12-12 14:00:15,71.4 ms
2025-12-12 14:00:30,69.3 ms
2025-12-12 14:00:45,70.9 ms
2025-12-12 14:01:00,70.0 ms
2025-12-12 14:01:15,77.4 ms
2025-12-12 14:01:30,71.2 ms
2025-12-12 14:01:45,81.0 ms
2025-12-12 14:02:00,86.3 ms
2025-12-12 14:02:15,68.7 ms
2025-12-12 14:02:30,72.3 ms
2025-12-12 14:02:45,80.4 ms
2025-12-12 14:03:00,78.2 ms
2025-12-12 14:03:15,83.5 ms
2025-12-12 14:03:30,69.3 ms
2025-12-12 14:03:45,78.8 ms
2025-12-12 14:04:00,68.8 ms
2025-12-12 14:04:15,69.2 ms
2025-12-12 14:04:30,71.7 ms
2025-12-12 14:04:45,67.1 ms
2025-12-12 14:05:00,69.5 ms
2025-12-12 14:05:15,70.4 ms
2025-12-12 14:05:30,64.2 ms
2025-12-12 14:05:45,64.2 ms
2025-12-12 14:06:00,64.9 ms
2025-12-12 14:06:15,64.9 ms
2025-12-12 14:06:30,0 ms
2025-12-12 14:06:45,0 ms
2025-12-12 14:07:00,0 ms
