"Time","stress level"
2025-12-12 13:55:30,0.0698
2025-12-12 13:55:45,0.0102
2025-12-12 13:56:00,0.00449
2025-12-12 13:56:15,0.0271
2025-12-12 13:56:30,0.227
2025-12-12 13:56:45,0.282
2025-12-12 13:57:00,0.264
2025-12-12 13:57:15,0.325
2025-12-12 13:57:30,0.260
2025-12-12 13:57:45,0.268
2025-12-12 13:58:00,0.259
2025-12-12 13:58:15,0.269
2025-12-12 13:58:30,0.238
2025-12-12 13:58:45,0.247
2025-12-12 13:59:00,0.236
2025-12-12 13:59:15,0.253
2025-12-12 13:59:30,0.238
2025-12-12 13:59:45,0.236
2025-12-12 14:00:00,0.244
2025-12-12 14:00:15,0.248
2025-12-12 14:00:30,0.240
2025-12-12 14:00:45,0.252
2025-12-12 14:01:00,0.207
2025-12-12 14:01:15,0.238
2025-12-12 14:01:30,0.240
2025-12-12 14:01:45,0.246
2025-12-12 14:02:00,0.243
2025-12-12 14:02:15,0.246
2025-12-12 14:02:30,0.241
2025-12-12 14:02:45,0.275
2025-12-12 14:03:00,0.251
2025-12-12 14:03:15,0.262
2025-12-12 14:03:30,0.230
2025-12-12 14:03:45,0.239
2025-12-12 14:04:00,0.244
2025-12-12 14:04:15,0.239
2025-12-12 14:04:30,0.246
2025-12-12 14:04:45,0.206
2025-12-12 14:05:00,0.153
2025-12-12 14:05:15,0.119
2025-12-12 14:05:30,0.0194
2025-12-12 14:05:45,0.0118
2025-12-12 14:06:00,0.00840
2025-12-12 14:06:15,0.00687
2025-12-12 14:06:30,0.00188
2025-12-12 14:06:45,0.00219
2025-12-12 14:07:00,0.00375
