"Time","myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"
2025-12-12 13:27:45,0.00137
2025-12-12 13:28:00,0.00140
2025-12-12 13:28:15,0.00141
2025-12-12 13:28:30,0.0119
2025-12-12 13:28:45,0.0611
2025-12-12 13:29:00,0.170
2025-12-12 13:29:15,0.252
2025-12-12 13:29:30,0.317
2025-12-12 13:29:45,0.373
2025-12-12 13:30:00,0.433
2025-12-12 13:30:15,0.459
2025-12-12 13:30:30,0.420
2025-12-12 13:30:45,0.366
2025-12-12 13:31:00,0.333
2025-12-12 13:31:15,0.346
2025-12-12 13:31:30,0.347
2025-12-12 13:31:45,0.350
2025-12-12 13:32:00,0.353
2025-12-12 13:32:15,0.386
2025-12-12 13:32:30,0.387
2025-12-12 13:32:45,0.387
2025-12-12 13:33:00,0.355
2025-12-12 13:33:15,0.371
2025-12-12 13:33:30,0.328
2025-12-12 13:33:45,0.382
2025-12-12 13:34:00,0.377
2025-12-12 13:34:15,0.370
2025-12-12 13:34:30,0.326
2025-12-12 13:34:45,0.416
2025-12-12 13:35:00,0.348
2025-12-12 13:35:15,0.463
2025-12-12 13:35:30,0.448
2025-12-12 13:35:45,0.393
2025-12-12 13:36:00,0.387
2025-12-12 13:36:15,0.392
2025-12-12 13:36:30,0.400
2025-12-12 13:36:45,0.414
2025-12-12 13:37:00,0.408
2025-12-12 13:37:15,0.373
2025-12-12 13:37:30,0.299
2025-12-12 13:37:45,0.180
2025-12-12 13:38:00,0.108
2025-12-12 13:38:15,0.0466
2025-12-12 13:38:30,0.0218
2025-12-12 13:38:45,0.0161
