"Time","myjitsi-jitsi-meet-jvb-5d69f565cb-2w4jj"
2025-12-12 13:27:45,1002 MiB
2025-12-12 13:28:00,1002 MiB
2025-12-12 13:28:15,1002 MiB
2025-12-12 13:28:30,1005 MiB
2025-12-12 13:28:45,1007 MiB
2025-12-12 13:29:00,1009 MiB
2025-12-12 13:29:15,1010 MiB
2025-12-12 13:29:30,1011 MiB
2025-12-12 13:29:45,1012 MiB
2025-12-12 13:30:00,1.01 GiB
2025-12-12 13:30:15,1.12 GiB
2025-12-12 13:30:30,1.12 GiB
2025-12-12 13:30:45,1.12 GiB
2025-12-12 13:31:00,1.12 GiB
2025-12-12 13:31:15,1.11 GiB
2025-12-12 13:31:30,1.11 GiB
2025-12-12 13:31:45,1.11 GiB
2025-12-12 13:32:00,1.11 GiB
2025-12-12 13:32:15,1.12 GiB
2025-12-12 13:32:30,1.11 GiB
2025-12-12 13:32:45,1.11 GiB
2025-12-12 13:33:00,1.11 GiB
2025-12-12 13:33:15,1.19 GiB
2025-12-12 13:33:30,1.49 GiB
2025-12-12 13:33:45,1.49 GiB
2025-12-12 13:34:00,1.48 GiB
2025-12-12 13:34:15,1.48 GiB
2025-12-12 13:34:30,1.48 GiB
2025-12-12 13:34:45,1.49 GiB
2025-12-12 13:35:00,1.49 GiB
2025-12-12 13:35:15,1.49 GiB
2025-12-12 13:35:30,1.49 GiB
2025-12-12 13:35:45,1.49 GiB
2025-12-12 13:36:00,1.48 GiB
2025-12-12 13:36:15,1.49 GiB
2025-12-12 13:36:30,1.49 GiB
2025-12-12 13:36:45,1.49 GiB
2025-12-12 13:37:00,1.49 GiB
2025-12-12 13:37:15,1.49 GiB
2025-12-12 13:37:30,1.48 GiB
2025-12-12 13:37:45,1.48 GiB
2025-12-12 13:38:00,1.48 GiB
2025-12-12 13:38:15,1.48 GiB
2025-12-12 13:38:30,1.48 GiB
2025-12-12 13:38:45,1.48 GiB
